tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	mean other	mean 50-80	Fold Change (other vs. 50-80)	CV	Wilcoxon P value	FDR	q values	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
TNN	-	-	TNN	TNN	TSS7362	chr1:175067857-175148066	-	-	0.00749730683823529	0.00216817087719298	3.45789481682443	2.45059696814172	0.000733427300911993	0.379885128941062	0.338968146598979	60	0	0	0	0.00592341694300518
PACERR	-	-	PACERR	PACERR	TSS31479	chr1:186680653-186681446	-	-	0.0975098169117647	0.277621085964912	-2.84710908867902	3.45919207995245	-0.0196481019649632	0.747614086070625	0.667089448415778	88	61	3	0	0.150703300518135
ATP6V1G3	-	-	ATP6V1G3	ATP6V1G3	TSS21362	chr1:198523221-198540945	-	-	0.0280682661764706	0.00718947368421053	3.90407801868917	4.53033802392461	0.0385115550725477	0.778913235908765	0.695017403480331	21	9	0	0	0.0219019906735751
CHIT1	-	-	CHIT1	CHIT1	TSS23928	chr1:203216078-203229732	-	-	13.3469254433824	41.8190148421053	-3.13323207052452	3.56120029815912	-0.041542538647302	0.78025555273265	0.696215140931147	190	189	140	2.1955	21.755780861658
LOC284578	-	-	LOC284578	LOC284578	TSS32443	chr1:205554272-205556635	-	-	0.0522505879411765	0.0251682684210526	2.0760501702799	1.90029627593834	0.0275602980646478	0.759534634560294	0.677726048588177	86	30	0	0	0.0442521826943005
C4BPA	-	-	C4BPA	C4BPA	TSS32120	chr1:207104261-207144972	-	-	0.0298772419117647	0.0635108578947368	-2.12572693564891	2.46191231950356	-0.010425308827537	0.679047186620269	0.605907809404234	85	19	0	0	0.0398104860103627
SPATA17-AS1	-	-	SPATA17-AS1	SPATA17-AS1	TSS18356	chr1:217781197-217785120	-	-	0.0297799164478824	0.00135026749649123	22.0548273029364	4.04163425881499	0.0077380914739161	0.642958158539323	0.573705888272821	26	14	0	0	0.0213835952549845
LOC101927604	-	-	LOC101927604	LOC101927604	TSS19070	chr1:230874845-230879015	-	-	0.0111815463235294	0.00101519122807018	11.0142266938072	3.24735343059042	0.0085101873373382	0.658250096319871	0.587350749343925	21	4	0	0	0.00817904766839378
C1orf100	-	-	C1orf100	C1orf100	TSS15982	chr1:244352634-244389086	-	-	0.0129248235294118	0	Inf	4.86678530262789	0.036410092491126	0.776865048066348	0.69318982355172	10	9	0	0	0.00910764766839378
OR11L1	-	-	OR11L1	OR11L1	TSS3871	chr1:247840927-247841896	-	-	0.00301369779411765	0	Inf	5.05580780031868	0.0477776738852249	0.783534543338113	0.699140955298631	9	1	0	0	0.00212364196891192
LYG2	-	-	LYG2	LYG2	TSS2455	chr2:99242247-99255107	-	-	0.0172516639705882	0.00153959649122807	11.2053152036137	3.73041927570387	0.00795983459739181	0.642958158539323	0.573705888272821	26	6	0	0	0.0126113124352332
LINC01104	-	-	LINC01104	LINC01104	TSS14755	chr2:100208253-100251484	-	-	0.00149473698529412	0.000213115789473684	7.01373177926214	3.10945817679945	0.0153721441203538	0.722767727715518	0.6449192622207	19	0	0	0	0.0011162270984456
IL1RL2	-	-	IL1RL2	IL1RL2	TSS8687	chr2:102186972-102239351	-	-	0.0269558654411765	0.0545609543859649	-2.02408468409329	2.24944902879072	-0.0477869971749165	0.783534543338113	0.699140955298631	81	17	0	0	0.03510866373057
SLC9A2	-	-	SLC9A2	SLC9A2	TSS25404	chr2:102619688-102711350	-	-	0.00698162161764706	0.00310518122807018	2.24837814763747	2.73464119756554	0.0448470092234338	0.783534543338113	0.699140955298631	72	2	0	0	0.00583676616580311
SULT1C2	-	-	SULT1C2	SULT1C2	TSS16144	chr2:108288638-108309915	-	-	0.294898504338235	0.665309254385965	-2.2560618131277	1.63384219606845	-0.0013297256494814	0.454304910433807	0.405372260582632	154	112	25	0.153348	0.404294425336788
LOC101927641	-	-	LOC101927641	LOC101927641	TSS7951	chr2:199608067-199659132	-	-	0.00369196691176471	0	Inf	3.68223963525049	0.00235521250054819	0.549477929187664	0.490294304946811	20	0	0	0	0.0026015932642487
CXCR1	-	-	CXCR1	CXCR1	TSS16915	chr2:218162844-218166993	-	-	0.345695454411765	0.969615712280702	-2.8048263288003	2.6477726842799	-0.0326205744729528	0.764420741662903	0.682085878817047	167	143	20	0.234087	0.529962059067357
EFHD1	-	-	EFHD1	EFHD1	TSS17162,TSS27077	chr2:232606056-232682781	-	-	0.0478984529411765	0.0124786561403509	3.83843038885353	3.5797176569885	0.0375926826439101	0.778913235908765	0.695017403480331	57	15	1	0	0.0374376839378238
LOC90246	-	-	LOC90246	LOC90246	TSS35992	chr3:128507834-128510586	-	-	0.00166630022058824	0.000145793684210526	11.4291660136806	3.92461336746197	0.0400123278030087	0.778913235908765	0.695017403480331	15	0	0	0	0.00121723870466321
TMEM108-AS1	-	-	TMEM108-AS1	TMEM108-AS1	TSS22455	chr3:133246447-133257121	-	-	0.00833492669117647	0.00376352280701754	2.21466086923533	1.97349496055235	0.0460599497016057	0.783534543338113	0.699140955298631	55	0	0	0	0.00698482295336788
HTT-AS	-	-	HTT-AS	HTT-AS	TSS16505	chr4:3063245-3074514	-	-	0.0211038610294118	0	Inf	3.35964695814065	0.00311378093981756	0.572082312430728	0.510463996543513	19	12	0	0	0.014871114507772
SHISA3	-	-	SHISA3	SHISA3	TSS12982	chr4:42397838-42402487	-	-	0.00564912794117647	0.000937256140350877	6.02730427464751	3.58702386037386	0.0267026371984146	0.759534634560294	0.677726048588177	26	1	0	0	0.00425753886010363
FTLP10	-	-	FTLP10	FTLP10	TSS20722	chr4:68182291-68212470	-	-	0.00411235808823529	0.00157670877192982	2.60819129153569	3.2929339955926	0.0496937361006163	0.786230840795716	0.7015468377148	20	0	0	0	0.00336348756476684
GK2	-	-	GK2	GK2	TSS18481	chr4:79406352-79408218	-	-	0.00435285294117647	0.00109250350877193	3.98429195533611	2.60928926388869	0.0136963030900337	0.701572561541557	0.626007002572969	29	0	0	0	0.0033899518134715
PABPC4L	-	-	PABPC4L	PABPC4L	TSS12736	chr4:134196333-134201748	-	-	0.00150212036764706	0.000337052456140351	4.45663676463929	2.75603628025353	0.0202961413328216	0.7585051354616	0.676807435631722	27	0	0	0	0.00115803295336788
SLC7A11	-	-	SLC7A11	SLC7A11	TSS19111	chr4:138164093-138242349	-	-	0.0616545830147059	0.158128721052632	-2.5647520966108	1.85110389891567	-0.023712490029816	0.759534634560294	0.677726048588177	178	50	2	0.05118	0.0901469450259067
NPY1R	-	-	NPY1R	NPY1R	TSS33926	chr4:163323964-163332795	-	-	0.00487550875	0.00149785315789474	3.25499781090199	3.06759848407786	0.0454619403604047	0.783534543338113	0.699140955298631	33	0	0	0	0.00387796279792746
FAM92A1P2	-	-	FAM92A1P2	FAM92A1P2	TSS22555	chr4:183037664-183040119	-	-	0.00755716279411765	0.00322739122807018	2.34157009797553	2.08616196250349	0.0265467855745178	0.759534634560294	0.677726048588177	54	1	0	0	0.00627842196891192
LOC100505625	-	-	LOC100505625	LOC100505625	TSS7022	chr5:6686324-6707711	-	-	0.0341862015441176	0.0162641566666667	2.10193508613835	1.81687400216081	0.00912997731496962	0.665836202755999	0.59411976514016	110	15	0	0.0109281	0.0288931623834197
MROH2B	-	-	MROH2B	MROH2B	TSS9695	chr5:40998019-41071342	-	-	0.00201969029411765	0.000862906140350877	2.34056776244099	2.11217706314985	0.0305194746670184	0.761163022075687	0.679179044391345	40	0	0	0	0.00167804937823834
MCIDAS	-	-	MCIDAS	MCIDAS	TSS29895	chr5:55219596-55227315	-	-	0.0271840985294118	0.012425058245614	2.18784475630185	2.73431564580379	0.0420861244424851	0.781166164936792	0.69702767216123	66	10	0	0	0.022825210984456
LINC01339	-	-	LINC01339	LINC01339	TSS10488	chr5:90158338-90290071	-	-	0.00658835808823529	0	Inf	4.59395213345354	0.0477776738852249	0.783534543338113	0.699140955298631	9	6	0	0	0.00464257357512953
LUCAT1	-	-	LUCAT1	LUCAT1	TSS10743	chr5:91302985-91314402	-	-	0.176755904411765	0.470478077192982	-2.66173896005744	2.20575720738922	-0.0113473586904884	0.680631404308785	0.60732139286085	117	91	10	0.0929023	0.263502867357513
PCDHB11	-	-	PCDHB11	PCDHB11	TSS29087	chr5:141199774-141203045	-	-	0.00228996595588235	0.00059548	3.84557996218572	2.95549814941979	0.038485246834647	0.778913235908765	0.695017403480331	25	0	0	0	0.00178952191709845
PCDHB19P	-	-	PCDHB19P	PCDHB19P	TSS22587	chr5:141240120-141244744	-	-	0.00319709338235294	0.00117967771929825	2.71014136323164	2.41767449336953	0.0253774702676738	0.759534634560294	0.677726048588177	47	0	0	0	0.00260127632124352
MIR143HG	-	-	MIR143HG	MIR143HG	TSS29313	chr5:149406844-149432836	-	-	0.00757312205882353	0.00092429649122807	8.19339046582495	2.80083465704317	0.00562878607022623	0.639284312615105	0.570427747990536	23	0	0	0	0.0056094792746114
MIR146A	-	-	MIR146A	MIR146A	TSS29754	chr5:160485351-160485450	-	-	2.74231963235294	0.362125263157895	7.57284815877988	4.44006353040749	0.0491592550130066	0.786230840795716	0.7015468377148	19	19	19	0	2.03936067357513
SCGN	-	-	SCGN	SCGN	TSS23806	chr6:25652200-25701780	-	-	0.00399744117647059	0	Inf	4.30028365500164	0.0123060352754618	0.680631404308785	0.60732139286085	14	1	0	0	0.00281684974093264
TDRD6	-	-	TDRD6	TDRD6	TSS352	chr6:46687874-46704319	-	-	0.136529108823529	0.304282911052632	-2.22870356127448	1.49488722624771	-0.00453767928980933	0.605824401231145	0.540571764475724	178	84	6	0.0751419	0.186072977875648
PLA2G7	-	-	PLA2G7	PLA2G7	TSS21440,TSS24190	chr6:46704315-46735693	-	-	3.324241925	7.10158684210526	-2.13630265255296	1.49810998589132	-0.00256595654618721	0.555051193571427	0.495267279550835	189	184	141	2.17534	4.43983083834197
CGA	-	-	CGA	CGA	TSS21536	chr6:87085497-87095147	-	-	0.00701275955882353	0	Inf	4.59338552757876	0.0211762364840002	0.759534634560294	0.677726048588177	12	2	0	0	0.00494163367875648
LINC01268	-	-	LINC01268	LINC01268	TSS5621	chr6:113868013-113873347	-	-	0.0577878242647059	0.132431066666667	-2.2916776734844	1.739278090604	-0.0286557332240162	0.759534634560294	0.677726048588177	127	54	1	0.035805	0.0798327196891192
HOXA6	-	-	HOXA6	HOXA6	TSS11665	chr7:27145582-27147774	-	-	0.0257087286764706	0.00445296315789474	5.77339801944939	3.92067761422467	0.0253177817783542	0.759534634560294	0.677726048588177	27	8	0	0	0.0194311191709845
HGF	-	-	HGF	HGF	TSS32222	chr7:81702127-81770136	-	-	0.162204639338235	0.331855970175439	-2.04590923865895	1.38103053759742	-0.00325199584745419	0.59155209396976	0.527836710714687	154	104	7	0.112851	0.212308918393782
OPN1SW	-	-	OPN1SW	OPN1SW	TSS6573	chr7:128772488-128775790	-	-	0.0102989345588235	0.000927312280701754	11.1062203889176	3.61914374422346	0.010730450145689	0.679639553272237	0.606436372937859	25	5	0	0	0.00753114974093264
CPA2	-	-	CPA2	CPA2	TSS30699	chr7:130266862-130289797	-	-	0.00681951838235294	0.000524517543859649	13.0015067411696	3.78871327654633	0.0185490929474985	0.742161679182117	0.662224313887735	18	2	0	0	0.00496037305699482
TAS2R3	-	-	TAS2R3	TAS2R3	TSS30390	chr7:141764096-141765197	-	-	0.0705457808823529	0.177820957894737	-2.5206462480199	2.65803090211959	-0.0132916776429282	0.688091867774454	0.61397829854383	89	48	3	0	0.102228087046632
BLACE	-	-	BLACE	BLACE	TSS18610	chr7:155356987-155367933	-	-	0.00311457073529412	0.00100164035087719	3.10947011326622	3.14436753134779	0.0484293873094715	0.783759302092525	0.699341505550828	24	0	0	0	0.00249054466321244
FAM90A7P	-	-	FAM90A7P	FAM90A7P	TSS31035	chr8:7556137-7559104	-	-	0.00184678529411765	0	Inf	4.9992087920628	0.0477776738852249	0.783534543338113	0.699140955298631	9	0	0	0	0.00130136165803109
FAM90A25P	-	-	FAM90A25P	FAM90A25P	TSS12764	chr8:12414520-12418032	-	-	0.00375116176470588	0	Inf	5.24389536862977	0.0161473143701857	0.726186981910454	0.647970232550701	13	1	0	0	0.00264330569948187
STC1	-	-	STC1	STC1	TSS11074	chr8:23841920-23854807	-	-	0.00345021919117647	0.000930302631578947	3.70870625757622	2.87474286677067	0.0191507897915245	0.746275966115854	0.665895455794217	36	0	0	0	0.00270599512953368
LINC01111	-	-	LINC01111	LINC01111	TSS25897	chr8:76406653-76524332	-	-	0.00168323455882353	0	Inf	4.6953567754537	0.0477776738852249	0.783534543338113	0.699140955298631	9	0	0	0	0.00118611347150259
ZFHX4-AS1	-	-	ZFHX4-AS1	ZFHX4-AS1	TSS1233	chr8:76610878-76683275	-	-	0.00693843161764706	0.00185141228070175	3.74764264554685	2.68886177987073	0.00865796837954898	0.662119721851448	0.590803582041343	36	1	0	0	0.00543604766839378
CTHRC1	-	-	CTHRC1	CTHRC1	TSS25076,TSS4219	chr8:103371514-103383004	-	-	0.041630875	0.0192901298245614	2.15814384758536	2.16998289508097	0.0195130138060532	0.746731150524	0.666301612822844	63	24	0	0	0.0350328310880829
LINC00824	-	-	LINC00824	LINC00824	TSS34931	chr8:128405269-128564679	-	-	0.0336490581617647	0.00641873	5.24232335084428	4.37578984591669	0.0067307427879897	0.640533851572719	0.571542700570403	57	11	1	0	0.0256069405181347
CYP11B1	-	-	CYP11B1	CYP11B1	TSS10724	chr8:142872356-142879820	-	-	0.0123212609558824	0.000798121052631579	15.4378347936776	9.81160831046022	0.0106552543858362	0.679047186620269	0.605907809404234	26	1	1	0	0.00891805383419689
MIR6847	-	-	MIR6847	MIR6847	TSS18936	chr8:144079873-144079942	-	-	5.66384338235294	0.76080701754386	7.44452042600465	3.79267686873783	0.0279549306303402	0.759534634560294	0.677726048588177	17	17	17	0	4.215796373057
ZNF32-AS1	-	-	ZNF32-AS1	ZNF32-AS1	TSS27161	chr10:43643871-43645047	-	-	1.01184506184566	2.57132483899614	-2.54122388491565	3.7014955162403	-0.0179253235473042	0.738415128075608	0.658881299413197	191	105	62	0.380654	1.4724168095015
GDF2	-	-	GDF2	GDF2	TSS3578	chr10:47322489-47326270	-	-	0.00668287941176471	0.00217006842105263	3.07957083146855	2.61658141465061	0.0456731754667623	0.783534543338113	0.699140955298631	37	0	0	0	0.00535008031088083
DKK1	-	-	DKK1	DKK1	TSS17686	chr10:52314280-52317657	-	-	0.0126356955882353	0.00292186315789474	4.32453366410889	3.49494317818313	0.0361623386205432	0.776865048066348	0.69318982355172	33	5	0	0	0.00976684352331606
LRRTM3	-	-	LRRTM3	LRRTM3	TSS32697,TSS8835	chr10:66926033-67101551	-	-	0.00216898529411765	0.000761426315789474	2.84858199557861	2.28748626219225	0.00576967127017899	0.640533851572719	0.571542700570403	38	0	0	0	0.00175328134715026
LRIT1	-	-	LRIT1	LRIT1	TSS30291	chr10:84231519-84241461	-	-	0.0029928375	0.00108751578947368	2.75199452639526	2.71036725276558	0.047422673408478	0.783534543338113	0.699140955298631	25	0	0	0	0.00243012590673575
ABCC8	-	-	ABCC8	ABCC8	TSS34913	chr11:17392884-17476845	-	-	0.00329748632352941	0.00121830631578947	2.70661514332921	1.88619722532413	0.00671541812790716	0.640533851572719	0.571542700570403	54	0	0	0	0.00268342797927461
RAG2	-	-	RAG2	RAG2	TSS1979	chr11:36591942-36598279	-	-	0.00331408617647059	0.00733514035087719	-2.21332215286234	2.63501140131076	-0.003553453243823	0.602271114874351	0.537401198431048	70	1	0	0	0.00450165139896373
MMP1	-	-	MMP1	MMP1	TSS16587	chr11:102789909-102798235	-	-	0.0598406970588235	0.147998154385965	-2.47320237998703	2.62406242483632	-0.0262218590695754	0.759534634560294	0.677726048588177	118	44	1	0.0276872	0.0858768373056995
FOXR1	-	-	FOXR1	FOXR1	TSS27691	chr11:118971706-118981285	-	-	0.00310587794117647	0	Inf	4.38708967334359	0.036410092491126	0.776865048066348	0.69318982355172	10	0	0	0	0.00218859792746114
TTC36	-	-	TTC36	TTC36	TSS32959	chr11:118527494-118531025	-	-	0.0223146602941176	0.00893632631578947	2.49707312664827	3.41243856575785	0.0236888196912205	0.759534634560294	0.677726048588177	28	11	0	0	0.0183635461139896
LINC01559	-	-	LINC01559	LINC01559	TSS28567	chr12:13370670-13376745	-	-	0.00668723419117647	0.00185958947368421	3.59608090162381	4.58729700437181	0.046061949092064	0.783534543338113	0.699140955298631	29	2	0	0	0.00526145310880829
PPP1R1A	-	-	PPP1R1A	PPP1R1A	TSS36118	chr12:54579239-54588659	-	-	0.07521395	0.027625898245614	2.72258839626839	1.92702269659281	0.00219126772762248	0.543030182015182	0.484541037071105	114	36	0	0.0233544	0.0611594476683938
C12orf50	-	-	C12orf50	C12orf50	TSS30205	chr12:87980038-88029399	-	-	0.004015925	0.00144996666666667	2.76966711878434	3.97732031781371	0.0287844613428314	0.759534634560294	0.677726048588177	17	0	0	0	0.00325810310880829
LINC00485	-	-	LINC00485	LINC00485	TSS35073	chr12:102809282-102824399	-	-	0.00221398272058824	0.000838629122807018	2.64000218973758	2.35471225571142	0.0184908896912097	0.742161679182117	0.662224313887735	33	0	0	0	0.00180779020725389
NUAK1	-	-	NUAK1	NUAK1	TSS18637	chr12:106063346-106140033	-	-	0.0117299518382353	0.00570921543859649	2.05456458324139	2.65531069975512	0.012365749947818	0.680631404308785	0.60732139286085	90	4	0	0	0.00995180689119171
SDS	-	-	SDS	SDS	TSS12760	chr12:113392445-113403887	-	-	1.67925579779412	4.00804268070175	-2.38679698826513	1.58854724353559	-0.00157156328842037	0.46644363880151	0.41620354073392	183	176	105	1.11377	2.36703223471503
FLJ37505	-	-	FLJ37505	FLJ37505	TSS3663	chr12:127881616-127898639	-	-	0.00231799705882353	0	Inf	4.35604265878058	0.0211762364840002	0.759534634560294	0.677726048588177	12	0	0	0	0.00163340725388601
LOC338797	-	-	LOC338797	LOC338797	TSS4089	chr12:131347469-131367555	-	-	0.003937225	0.000295119298245614	13.3411302595442	4.77033169202329	0.0177271424780223	0.736946761810292	0.657571089158665	18	1	0	0	0.00286157720207254
MDGA2	-	-	MDGA2	MDGA2	TSS14299,TSS4835	chr14:46839624-47674954	-	-	0.059385705	0.0259661405263158	2.28704396557566	2.64489429491138	0.0328592937205041	0.765267766620318	0.682841671708278	160	16	1	0.0254033	0.0495156781865285
SLC51B	-	-	SLC51B	SLC51B	TSS31377	chr15:65045369-65053396	-	-	0.0381139029411765	0.0117559789473684	3.2420866957837	3.51974959057875	0.0130350220637194	0.687435822678588	0.613392915296923	39	16	1	0	0.0303294383419689
MIR7706	-	-	MIR7706	MIR7706	TSS18715	chr15:85380595-85380662	-	-	9.97366544117647	0.863440350877193	11.5510763784018	4.14418235139436	0.0424295346509257	0.783090290647055	0.698744552544648	15	15	15	0	7.28308082901554
TMC7	-	-	TMC7	TMC7	TSS17221,TSS30343	chr16:18983933-19063940	-	-	0.106232961102941	0.0510829501754386	2.07961679460752	1.6130273911805	0.0139784519873982	0.706534627679879	0.630434610378774	154	56	1	0.0488833	0.0899451340414508
HS3ST2	-	-	HS3ST2	HS3ST2	TSS15246	chr16:22814538-22916338	-	-	0.333592902941176	1.11172290526316	-3.33257361131328	2.15390965533311	-0.0413202748877034	0.78025555273265	0.696215140931147	149	109	27	0.123074	0.563403318134715
MIR762	-	-	MIR762	MIR762	TSS8356	chr16:30893902-30893985	-	-	0.00192706618459536	1.84156140374791e-35	1.04643058910413e+32	13.8924439305723	0.045102023927851	0.783534543338113	0.699140955298631	56	1	0	0	0.00135793264821227
C16orf47	-	-	C16orf47	C16orf47	TSS36188	chr16:73126637-73144447	-	-	0.00736757573529412	0.00123046666666667	5.98762724329045	3.71813529804772	0.0410824828926343	0.78025555273265	0.696215140931147	20	1	0	0	0.00555506165803109
MYH2	-	-	MYH2	MYH2	TSS28131,TSS6451	chr17:10521147-10549700	-	-	0.00155802970588235	0.000520368947368421	2.99408662596323	2.09809826706645	0.0117174759152019	0.680631404308785	0.60732139286085	38	0	0	0	0.00125157031088083
SLC13A2	-	-	SLC13A2	SLC13A2	TSS23583	chr17:28473645-28497780	-	-	0.0192155136029412	0.00569369649122807	3.37487493977688	3.8153287926674	0.00550881528688725	0.633389685575662	0.565168024326118	52	6	0	0	0.0152220235751295
TBC1D3H	-	-	TBC1D3H	TBC1D3H	TSS14312	chr17:36253582-36264527	-	-	0.00208760734779412	0.000431427164912281	4.83884075361499	4.56212744555773	0.0337967198625631	0.771515684419572	0.688416633598519	111	0	0	0.000116559	0.00159847641295337
HNF1B	-	-	HNF1B	HNF1B	TSS16588	chr17:37686430-37745078	-	-	0.0562828677941176	0.204872351929825	-3.64004820577456	3.17525293518039	-0.0296795217475052	0.761163022075687	0.679179044391345	110	33	3	0.014631	0.100166808704663
LRRC3C	-	-	LRRC3C	LRRC3C	TSS35395	chr17:39941473-39944734	-	-	0.0117219022058824	0.00105184736842105	11.1441094571338	7.18762873106707	0.03624837292099	0.776865048066348	0.69318982355172	16	2	0	0	0.00857064248704663
KRT26	-	-	KRT26	KRT26	TSS23492	chr17:40766237-40772159	-	-	0.0030505	0.000458456140350877	6.65385351293433	3.3100220395503	0.0460941465964388	0.783534543338113	0.699140955298631	19	0	0	0	0.00228497409326425
LOC101927166	-	-	LOC101927166	LOC101927166	TSS22667	chr17:48444832-48466040	-	-	0.01815455125	0.00616395964912281	2.94527418792944	3.49750260442138	0.0446590576347276	0.783534543338113	0.699140955298631	49	7	0	0	0.0146132884455959
RPL23AP87	-	-	RPL23AP87	RPL23AP87	TSS33846	chr17:83226896-83240804	-	-	0.0505662691176471	0.106958180701754	-2.11520807384279	1.34119416611174	-0.00873774816641652	0.662119721851448	0.590803582041343	158	40	0	0.0385524	0.0672208751295337
APCDD1	-	-	APCDD1	APCDD1	TSS22642	chr18:10454627-10488701	-	-	0.238117595588235	0.102775443157895	2.31687247723577	5.54735889840839	0.00776644586260262	0.642958158539323	0.573705888272821	147	69	4	0.0602974	0.198146079067358
LINC00683	-	-	LINC00683	LINC00683	TSS28827	chr18:76619776-76623559	-	-	0.00561315354211691	0.00202928187377895	2.76607878611957	2.59755032377559	0.0196206548729459	0.747614086070625	0.667089448415778	37	0	0	0	0.0045547043965456
ELANE	-	-	ELANE	ELANE	TSS31044	chr19:852290-856246	-	-	0.145845667647059	0.315998503508772	-2.16666362879888	3.34387157193399	-0.0192206055278534	0.746275966115854	0.665895455794217	79	58	7	0	0.196098059585492
RNU6-9	-	-	RNU6-9	RNU6-9	TSS33687	chr19:1021521-1021628	-	-	2.31683272058824	0.617037368421053	3.75476889919458	2.81201349944757	0.037419118267341	0.778913235908765	0.695017403480331	29	29	29	0	1.81482062176166
OR1I1	-	-	OR1I1	OR1I1	TSS19548	chr19:15087065-15088133	-	-	0.00275653970588235	0	Inf	4.73553754610671	0.0477776738852249	0.783534543338113	0.699140955298631	9	0	0	0	0.00194243212435233
FAM187B	-	-	FAM187B	FAM187B	TSS26030	chr19:35224800-35228725	-	-	0.0120907558823529	0.00340791929824561	3.54784102093533	3.46487298807893	0.0474557427285643	0.783534543338113	0.699140955298631	32	3	0	0	0.00952639481865285
NLRP8	-	-	NLRP8	NLRP8	TSS5349	chr19:55947831-55988629	-	-	0.00307367308823529	0.00087425350877193	3.51576866137249	2.544221277565	0.0265126889675638	0.759534634560294	0.677726048588177	34	0	0	0	0.00242410357512953
CSTL1	-	-	CSTL1	CSTL1	TSS33199	chr20:23439684-23444930	-	-	0.00471814117647059	0	Inf	4.31965661275634	0.036410092491126	0.776865048066348	0.69318982355172	10	0	0	0	0.00332470051813472
DUSP15	-	-	DUSP15	DUSP15	TSS10441,TSS22077,TSS28585	chr20:31861066-31870676	-	-	0.0689042367647059	0.175317933333333	-2.54437087710599	2.07783500902262	-0.0125281366151257	0.686083373993723	0.612186137276007	105	52	3	0.0336211	0.100332116062176
MIR1825	-	-	MIR1825	MIR1825	TSS9953	chr20:32237794-32237847	-	-	6.15350618442813e-05	1.11855614035088e-13	550129400.076232	13.8695210484761	0.0456236792174754	0.783534543338113	0.699140955298631	15	0	0	0	4.33614943896271e-05
TRERNA1	-	-	TRERNA1	TRERNA1	TSS43	chr20:50040706-50041629	-	-	0.0174267419117647	0.00761815789473684	2.28752700489502	4.09792367199091	0.0490180823426777	0.786230840795716	0.7015468377148	15	9	0	0	0.0145299062176166
BHLHE23	-	-	BHLHE23	BHLHE23	TSS24417	chr20:63005978-63007035	-	-	0.00474804632352941	0.000831980701754386	5.70691881857028	3.68842839822358	0.0367777199131164	0.778913235908765	0.695017403480331	16	1	0	0	0.00359148808290155
LOC101928269	-	-	LOC101928269	LOC101928269	TSS4151	chr21:35954678-36004667	-	-	0.00681176397058823	0	Inf	5.07394307035275	0.036410092491126	0.776865048066348	0.69318982355172	10	3	0	0	0.00479999948186528
IGSF5	-	-	IGSF5	IGSF5	TSS14664	chr21:39745406-39802096	-	-	0.00246069779411765	0.000483421052631579	5.09017507765218	3.40154942310648	0.0279549306303402	0.759534634560294	0.677726048588177	17	0	0	0	0.00187673523316062
