tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	mean other	mean 50-80	Fold Change (other vs. 50-80)	CV	Wilcoxon P value	FDR	q values	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
AREG	-	-	AREG	AREG	TSS678	chr4:74445097-74455009	-	-	0.738281440397351	1.79092519361702	-2.42580281126006	2.05782343338103	-0.0191974486931074	1	1	156	130	43	0.2012575	0.988151422222222
GK2	-	-	GK2	GK2	TSS18481	chr4:79406352-79408218	-	-	0.00422051986754967	0.000360897872340426	11.6944991672563	2.64762031562851	0.00524106581773125	1	1	29	0	0	0	0.00330434696969697
PABPC4L	-	-	PABPC4L	PABPC4L	TSS12736	chr4:134196333-134201748	-	-	0.00139630913907285	0.000269312340425532	5.18472022806895	2.79598465304992	0.0289438223878109	1	1	27	0	0	0	0.0011287896969697
TKTL2	-	-	TKTL2	TKTL2	TSS5104	chr4:163471094-163473895	-	-	0.0218930143046358	0.00936585531914894	2.33753496702799	2.72010433793552	0.00669398244254643	1	1	74	10	0	0	0.0189193957575758
OXCT1-AS1	-	-	OXCT1-AS1	OXCT1-AS1	TSS31079	chr5:41870029-41872236	-	-	0.00656237655830596	0.000493823105129213	13.2889216607005	4.26992564276438	0.0495595542197514	1	1	84	2	0	0	0.0051218613446731
S100Z	-	-	S100Z	S100Z	TSS21271	chr5:76850000-76921231	-	-	0.296700094039735	0.664220865957447	-2.23869449083657	1.68580131373874	-0.0110123782205676	1	1	156	134	16	0.2228665	0.383939873232323
SOWAHA	-	-	SOWAHA	SOWAHA	TSS25448	chr5:132813323-132816797	-	-	0.0125184145695364	0.00624631212765957	2.00412888656381	1.67975417380636	0.0252756705792486	1	1	82	0	0	0	0.0110295821717172
PCDHB5	-	-	PCDHB5	PCDHB5	TSS30477	chr5:141135205-141138127	-	-	0.00500067701986755	0.00194937446808511	2.56527265629973	2.90846700419164	0.00442167319871446	1	1	37	1	0	0	0.00427637792929293
MIR143HG	-	-	MIR143HG	MIR143HG	TSS29313	chr5:149406844-149432836	-	-	0.00682082516556291	0.00112095531914894	6.08483232921496	2.84128220785036	0.0229842969376816	1	1	23	0	0	0	0.00546782575757576
ADRA1B	-	-	ADRA1B	ADRA1B	TSS5535	chr5:159916732-159973010	-	-	0.0107687401324503	0.0039012829787234	2.76030736329056	2.2350948048821	0.0142962704523716	1	1	60	3	0	0	0.00913858616161616
ATP10B	-	-	ATP10B	ATP10B	TSS20388	chr5:160563119-160852212	-	-	0.0083953278807947	0.0232767131914894	-2.77257940630736	2.59998308158066	-0.00883698547281033	1	1	106	3	0	0.003816885	0.0119277779292929
GABRP	-	-	GABRP	GABRP	TSS26286	chr5:170783718-170814046	-	-	0.208869643708609	0.425659857446809	-2.03792111619935	3.01990161718154	-0.0497951013289012	1	1	157	97	7	0.0943602	0.260329946969697
C5orf60	-	-	C5orf60	C5orf60	TSS944	chr5:179641543-179645046	-	-	0.00335252450331126	0	Inf	4.3504454610136	0.0472382876962203	1	1	12	0	0	0	0.00255672323232323
HIST1H2BL	-	-	HIST1H2BL	HIST1H2BL	TSS8726	chr6:27807478-27807931	-	-	0.138616868211921	0.0631639787234043	2.19455567894045	2.36442514384767	0.0127187371548595	1	1	54	53	4	0	0.120706333838384
HIST1H3J	-	-	HIST1H3J	HIST1H3J	TSS4784	chr6:27890314-27890792	-	-	0.0773504649006623	0.00994542553191489	7.77749173752741	5.03173484091197	0.0499991071975872	1	1	25	23	2	0	0.0613502787878788
PACSIN1	-	-	PACSIN1	PACSIN1	TSS19751,TSS4094	chr6:34466060-34535223	-	-	0.120316581788079	0.0493382717021277	2.43860552137847	3.73400333310991	0.0384533619601192	1	1	162	43	2	0.0324401	0.103468195050505
COL19A1	-	-	COL19A1	COL19A1	TSS8125	chr6:69866555-70212454	-	-	0.0093089061589404	0.00358755765957447	2.59477534363714	2.55352802752379	0.0371062505858685	1	1	97	2	0	0	0.00795080828282828
CGA	-	-	CGA	CGA	TSS21536	chr6:87085497-87095147	-	-	0.00631612781456954	0	Inf	4.65499661050908	0.0472382876962203	1	1	12	2	0	0	0.00481684494949495
RPS6KA2-AS1	-	-	RPS6KA2-AS1	RPS6KA2-AS1	TSS26258	chr6:166903697-166905069	-	-	0.023082857615894	0.00616119361702128	3.74649119159703	3.23606168344176	0.0420404370003083	1	1	32	14	0	0	0.019066098989899
LOC442497	-	-	LOC442497	LOC442497	TSS3189	chr7:379424-382879	-	-	0.00428962754966887	0.00100204680851064	4.28086543785777	3.5748961687696	0.0287682405345909	1	1	28	1	0	0	0.00350924222222222
VWC2	-	-	VWC2	VWC2	TSS7113	chr7:49773660-49912542	-	-	0.00509790794701987	0.00246704468085106	2.06640276383694	2.43575614606045	0.0347206939948255	1	1	34	0	0	0	0.0044734101010101
CPA2	-	-	CPA2	CPA2	TSS30699	chr7:130266862-130289797	-	-	0.00634007947019868	0.000694846808510638	9.12442770484655	3.73424173331947	0.0471408383082933	1	1	19	2	0	0	0.00500004949494949
RNY4	-	-	RNY4	RNY4	TSS16675	chr7:148963314-148963410	-	-	56.852591589404	129.039144680851	-2.2697143801779	3.77919615949565	-0.00477794498500671	1	1	109	109	109	13.62175	73.9877834848485
LOC101927815	-	-	LOC101927815	LOC101927815	TSS13167,TSS23285	chr8:2530091-2728451	-	-	0.120168506622517	0.0593525574468085	2.024655916979	1.76957776438693	0.0205058536520947	1	1	84	60	2	0	0.105732397474747
USP17L7	-	-	USP17L7	USP17L7	TSS770	chr8:12132416-12134009	-	-	0.012170359602649	0.00346756170212766	3.5097744894291	3.99189745983265	0.0323327416608122	1	1	27	5	0	0	0.0101045439393939
LOC102467222	-	-	LOC102467222	LOC102467222	TSS6930	chr8:20953632-20968938	-	-	0.0164722152317881	0	Inf	4.64895300830482	0.0166833364751668	1	1	17	8	0	0	0.0125621439393939
PMP2	-	-	PMP2	PMP2	TSS3489	chr8:81440325-81447484	-	-	0.00744300569536424	0.00201791978723404	3.68845468608361	2.9681093269006	0.0445632148509801	1	1	41	2	0	0	0.00615523277777778
C8orf88	-	-	C8orf88	C8orf88	TSS16343	chr8:90958477-90985257	-	-	0.161657581456954	0.0801855607970213	2.01604353514678	1.36083062648202	0.00849322917202617	1	1	132	85	1	0.07697615	0.142318263421515
CTHRC1	-	-	CTHRC1	CTHRC1	TSS25076,TSS4219	chr8:103371514-103383004	-	-	0.0401313887417219	0.0186939276595745	2.14676067397574	2.15595140936327	0.027332708401784	1	1	65	25	0	0	0.0350426984848485
RNF139-AS1	-	-	RNF139-AS1	RNF139-AS1	TSS10634,TSS26942	chr8:124462496-124474563	-	-	0.137475083245033	0.4174522	-3.03656626456404	2.05055366900179	-0.00139175813234883	1	1	170	75	6	0.05860205	0.203934297828283
GPIHBP1	-	-	GPIHBP1	GPIHBP1	TSS9293	chr8:143213192-143217170	-	-	0.0170059052980132	0.00598364468085106	2.84206469552508	2.22138834640174	0.0318225183913801	1	1	52	6	0	0	0.0143895101010101
LOC286297	-	-	LOC286297	LOC286297	TSS34571	chr9:63112402-63127100	-	-	0.0111263781456954	0.00530355872340426	2.09790797575134	1.93685090739785	0.0220639828743602	1	1	69	2	0	0	0.00974419373737374
FAM27B	-	-	FAM27B	FAM27B	TSS29789	chr9:67725482-67726743	-	-	0.0172868973509934	0	Inf	5.92608040844753	0.0205612348097835	1	1	16	7	1	0	0.0131834419191919
PGM5-AS1	-	-	PGM5-AS1	PGM5-AS1	TSS2711	chr9:68355163-68357866	-	-	0.0599813046357616	0.0162842340425532	3.68339735716284	3.21183194659799	0.0497931607318361	1	1	40	27	1	0	0.0496087676767677
PCAT7	-	-	PCAT7	PCAT7	TSS19024	chr9:94555044-94568129	-	-	0.0154251646125497	0.00552502553191489	2.79187209605591	2.34323614885007	0.0259307744332508	1	1	44	7	0	0	0.0130751315984596
TXNDC8	-	-	TXNDC8	TXNDC8	TSS35280	chr9:110303586-110337884	-	-	0.00455882715231788	0	Inf	4.24408263115349	0.0205612348097835	1	1	16	1	0	0	0.00347668131313131
QRFP	-	-	QRFP	QRFP	TSS16251	chr9:130893427-130896812	-	-	0.0910846556291391	0.0255085659574468	3.57074779433253	2.62407378605891	0.00290771298992489	1	1	76	35	3	0	0.0755186141414141
LOC101928786	-	-	LOC101928786	LOC101928786	TSS931	chr9:138040502-138045071	-	-	0.00293353675496689	0.00082998085106383	3.53446317611644	2.6857385828167	0.0406811892030665	1	1	32	0	0	0	0.00243420782828283
CASC10	-	-	CASC10	CASC10	TSS29483	chr10:21494491-21497284	-	-	0.0243420370860927	0.00974113617021277	2.49889095694276	2.88279848422667	0.0328917426751241	1	1	57	13	0	0	0.0208761666666667
GDF2	-	-	GDF2	GDF2	TSS3578	chr10:47322489-47326270	-	-	0.00656494768211921	0.00177164893617021	3.70555788344315	2.59532452517634	0.0129399586781748	1	1	38	0	0	0	0.00542714444444444
PGBD3	-	-	PGBD3	PGBD3	TSS23046	chr10:49515104-49524281	-	-	0.112262689174743	0.324264857183801	-2.88844726210917	2.55249093213741	-0.0305498281380534	1	1	193	57	7	2.777565e-16	0.162586436126388
JMJD1C-AS1	-	-	JMJD1C-AS1	JMJD1C-AS1	TSS13591	chr10:63465228-63466562	-	-	0.0628882821195926	0.190964395744681	-3.03656562571593	1.98512462083516	-0.0051794522072221	1	1	172	59	1	0.02231035	0.0932901878790832
LRRTM3	-	-	LRRTM3	LRRTM3	TSS32697,TSS8835	chr10:66926033-67101551	-	-	0.00205948390728477	0.000732994893617021	2.80968383984516	2.28426576308937	0.011228458465013	1	1	39	0	0	0	0.00174461025252525
HKDC1	-	-	HKDC1	HKDC1	TSS6154	chr10:69220302-69267559	-	-	0.0288562035099338	0.00751245957446809	3.84111265077615	3.0751185124297	0.0299758675706563	1	1	90	8	0	0	0.0237897592424242
CYP26C1	-	-	CYP26C1	CYP26C1	TSS23848	chr10:93061263-93068697	-	-	0.00577068476821192	0.00171492765957447	3.36497270657109	2.72095793822802	0.0430424676209746	1	1	31	1	0	0	0.00480795454545455
SCT	-	-	SCT	SCT	TSS35119	chr11:626312-627173	-	-	0.111323578145695	0.0205112553191489	5.42743856548681	3.46747469027248	0.0461674331667821	1	1	45	43	6	0	0.0897671176767677
MRGPRG	-	-	MRGPRG	MRGPRG	TSS32140	chr11:3217943-3218813	-	-	0.0130093304635762	0.00471508723404255	2.75908584885765	2.34026397374869	0.0190357415451378	1	1	36	3	0	0	0.0110404949494949
OR51Q1	-	-	OR51Q1	OR51Q1	TSS1004	chr11:5422110-5423206	-	-	0.00355922913907285	0	Inf	4.15508693445804	0.0472382876962203	1	1	12	0	0	0	0.00271436161616162
OR52N2	-	-	OR52N2	OR52N2	TSS23268	chr11:5820335-5821301	-	-	0.0145758158940397	0.0029884085106383	4.87745093823417	2.81958624267291	0.0167337057304827	1	1	36	4	0	0	0.0118252696969697
C11orf42	-	-	C11orf42	C11orf42	TSS20353	chr11:6205567-6211135	-	-	0.0752306251655629	0.0204375936170213	3.68099232107775	2.69637457396384	0.0426689730943179	1	1	84	28	2	0	0.0622241984848485
PAUPAR	-	-	PAUPAR	PAUPAR	TSS18170	chr11:31826566-31829303	-	-	0.00211650993377483	0	Inf	3.3733111318572	0.00886833603551279	1	1	20	0	0	0	0.00161410606060606
GLYATL1	-	-	GLYATL1	GLYATL1	TSS29857,TSS3161	chr11:58927628-58957074	-	-	0.00855965364238411	0.00247098085106383	3.46407121637504	2.86355284462061	0.0239177078476635	1	1	39	2	0	0	0.00711436262626263
SLC22A8	-	-	SLC22A8	SLC22A8	TSS10466	chr11:62992823-63015845	-	-	0.0036729238410596	0.000414727659574468	8.85623072458734	3.1487512792388	0.0191909106453949	1	1	23	0	0	0	0.00289951363636364
TIGD3	-	-	TIGD3	TIGD3	TSS21897	chr11:65354810-65357611	-	-	0.0483329066225166	0.0177210787234043	2.72742463237767	1.66097303167476	0.0041771312430293	1	1	102	25	0	0.01637875	0.0410664626262626
LOC101054525	-	-	LOC101054525	LOC101054525	TSS10382	chr11:101129076-101159270	-	-	0.00524300264900662	0.000684651063829787	7.6579193781989	3.70057581638555	0.0365885045475851	1	1	20	1	0	0	0.0041609696969697
POU2AF1	-	-	POU2AF1	POU2AF1	TSS29912	chr11:111352255-111379432	-	-	0.258131710529801	0.118922614893617	2.17058555902689	2.83207589949431	0.0227260461156905	1	1	167	85	4	0.0750037	0.225087127222222
COLCA2	-	-	COLCA2	COLCA2	TSS13111,TSS18827,TSS2988	chr11:111298545-111308735	-	-	0.090238100662304	0.181993606721277	-2.01681557330586	2.95866067821201	-0.0423386158857128	1	1	84	42	6	0	0.112018448060141
NXPE4	-	-	NXPE4	NXPE4	TSS4815	chr11:114570590-114595762	-	-	0.00293827814569536	0	Inf	5.5316705280734	0.0472382876962203	1	1	12	1	0	0	0.00224080808080808
DDX25	-	-	DDX25	DDX25	TSS35099	chr11:125904365-125923111	-	-	0.0111865218543046	0.00125138723404255	8.93929676601147	5.32786875358267	0.0336122387003687	1	1	31	2	0	0	0.00882818181818182
TAS2R10	-	-	TAS2R10	TAS2R10	TSS26346	chr12:10825345-10826269	-	-	0.0700199748344371	0.0198199829787234	3.53279692064332	2.30411001562938	0.0142723113860335	1	1	69	33	1	0	0.0581038151515152
GPRC5A	-	-	GPRC5A	GPRC5A	TSS9578	chr12:12891021-12913666	-	-	0.0932847253642384	0.215977027659574	-2.31524536108428	2.9007203138956	-0.00810905147913243	1	1	144	55	3	0.04502035	0.122408655707071
C12orf71	-	-	C12orf71	C12orf71	TSS31034	chr12:27081056-27082522	-	-	0.0364531225165563	0.00840326595744681	4.33797082005387	2.35328796810914	0.0254085588693516	1	1	47	24	0	0	0.0297948232323232
SNORA34	-	-	SNORA34	SNORA34	TSS20758	chr12:48654381-48654518	-	-	3.57532463576159	0.41208829787234	8.67611299379624	6.58323005941212	0.0237619302253689	1	1	29	29	29	0	2.8244554040404
KRT80	-	-	KRT80	KRT80	TSS28231	chr12:52168995-52192000	-	-	0.0531408579470199	0.180591665744681	-3.39835811316269	4.16775132773581	-0.0372581954145415	1	1	141	30	1	0.0240007	0.0833943325252525
PCBP2-OT1	-	-	PCBP2-OT1	PCBP2-OT1	TSS369	chr12:53464467-53465057	-	-	0.793664969536424	1.74095361702128	-2.19356237687819	2.17554927806503	-0.00719276823714222	1	1	187	183	58	0.647596	1.01852641616162
B4GALNT1	-	-	B4GALNT1	B4GALNT1	TSS13296,TSS7930	chr12:57625894-57633239	-	-	0.0186899408609272	0.00691603404255319	2.7024072967153	2.85356813184396	0.0162866064704668	1	1	73	5	0	0	0.0158951245959596
MIRLET7I	-	-	MIRLET7I	MIRLET7I	TSS32331	chr12:62603685-62603769	-	-	2.13614701986755	0	Inf	4.16354073925203	0.0383783250686743	1	1	13	13	13	0	1.62908181818182
LLPH-AS1	-	-	LLPH-AS1	LLPH-AS1	TSS24437	chr12:66130750-66134449	-	-	0.153350339735099	0.0626805042553192	2.44653966264296	2.4194967458338	0.0466623116148848	1	1	72	55	7	0	0.131827702020202
SLC17A8	-	-	SLC17A8	SLC17A8	TSS24212	chr12:100357078-100422059	-	-	0.0021455801986755	0.000443242127659574	4.84065043637589	3.54365655321974	0.0494115644825577	1	1	25	0	0	0	0.00174148984848485
LINC00485	-	-	LINC00485	LINC00485	TSS35073	chr12:102809282-102824399	-	-	0.00212205662251656	0.000605807659574468	3.50285538483804	2.39031468550869	0.0284127624835835	1	1	33	0	0	0	0.00176213893939394
LINC00173	-	-	LINC00173	LINC00173	TSS20872,TSS32601	chr12:116533421-116536513	-	-	0.0736080099337748	0.0187531468085106	3.92510178080458	3.7798127040245	0.0185776317771247	1	1	80	24	3	0	0.0605869060606061
FLJ37505	-	-	FLJ37505	FLJ37505	TSS3663	chr12:127881616-127898639	-	-	0.00220026490066225	0	Inf	4.23885392009829	0.0383783250686743	1	1	13	0	0	0	0.0016779797979798
ANKRD20A19P	-	-	ANKRD20A19P	ANKRD20A19P	TSS23170	chr13:23907283-23949315	-	-	0.00526582450331126	0.00245990340425532	2.14066312286981	1.66733721939331	0.0245181943303275	1	1	84	0	0	0	0.00459977252525252
RNF17	-	-	RNF17	RNF17	TSS27667	chr13:24764162-24879920	-	-	0.0191117919205298	0.00401814574468085	4.75637100665889	4.18286580959235	0.00160249814111628	1	1	56	5	0	0	0.0155289567171717
CCDC169-SOHLH2	-	-	CCDC169-SOHLH2	CCDC169-SOHLH2	TSS25759	chr13:36168207-36297855	-	-	0.000139446016612667	7.83666519148936e-07	177.940505566201	14.0083137156672	0.00125872409112444	1	1	40	0	0	0	0.000106531216337943
SCEL	-	-	SCEL	SCEL	TSS17657	chr13:77535673-77645263	-	-	0.0254912914569536	0.235178934042553	-9.22585403096162	8.87485542631282	-0.0376062537225839	1	1	114	14	1	0.0113746	0.0752656308585859
ZIC5	-	-	ZIC5	ZIC5	TSS22047	chr13:99963020-99971924	-	-	0.00286661463576159	0.000783659787234043	3.65798358223716	1.99983175188178	0.00696463641947726	1	1	48	0	0	0	0.00237217585858586
MYH7	-	-	MYH7	MYH7	TSS259	chr14:23412737-23435686	-	-	0.00828539666349411	0.00203835991434489	4.06473685298945	6.46543400607741	0.0404026839384552	1	1	65	2	0	0	0.00680251420283748
MDGA2	-	-	MDGA2	MDGA2	TSS14299,TSS4835	chr14:46839624-47674954	-	-	0.0561746187417219	0.0244025346808511	2.30199934049485	2.66094790579729	0.0310677623798675	1	1	165	16	1	0.02387025	0.0486327604040404
LOC101927620	-	-	LOC101927620	LOC101927620	TSS21048	chr14:53153353-53157528	-	-	0.113198951655629	0.241513910638298	-2.13353487029655	1.3573401030848	-0.00395606023846121	1	1	128	86	1	0.063366	0.143657553030303
PPP4R4	-	-	PPP4R4	PPP4R4	TSS2317	chr14:94174311-94279735	-	-	0.0570151517218543	0.0265224231914894	2.1496961763339	1.89289559139397	0.00608796064835945	1	1	134	21	0	0.0210764	0.0497769787878788
TCL1A	-	-	TCL1A	TCL1A	TSS6110	chr14:95709966-95714196	-	-	0.156388429139073	0.0399028425531915	3.9192302886844	2.9598455159682	0.00438377943910773	1	1	91	55	5	0	0.12873781010101
LINC00618	-	-	LINC00618	LINC00618	TSS13622	chr14:96943578-96945394	-	-	0.241638271523179	0.0738994893617021	3.26982329120675	1.97389963461444	0.022290141657412	1	1	72	72	10	0	0.20182148989899
GOLGA6L1	-	-	GOLGA6L1	GOLGA6L1	TSS24335	chr15:23127065-23136822	-	-	4.22107682119205e-05	0	Inf	4.11167052149754	0.0383783250686743	1	1	13	0	0	0	3.21910404040404e-05
GOLGA6L22	-	-	GOLGA6L22	GOLGA6L22	TSS9104	chr15:23127065-23334210	-	-	0.000817552450331126	0	Inf	4.11167438154583	0.0383783250686743	1	1	13	0	0	0	0.00062348696969697
C2CD4A	-	-	C2CD4A	C2CD4A	TSS9652	chr15:62066976-62070917	-	-	0.00679847973509934	0.00269444085106383	2.52315048311977	2.263811890364	0.0160715617948751	1	1	55	0	0	0	0.00582428868686869
CHRNB4	-	-	CHRNB4	CHRNB4	TSS19688	chr15:78624293-78641245	-	-	0.00508029264900662	0.000980855319148936	5.1794515968111	3.21557131678401	0.0376675937377942	1	1	26	1	0	0	0.00410719388888889
