tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Reticular Abnormality)	corr_coef (Reticular Abnormality)	fdr (Reticular Abnormality)	fpkm>0_num (Reticular Abnormality)	fpkm>0.1_num (Reticular Abnormality)	fpkm>1_num (Reticular Abnormality)	fpkm_median (Reticular Abnormality)	fpkm_mean (Reticular Abnormality)
FYTTD1_TSS21270,TSS23347,TSS5976	0.00137362290290368	-0.222067771987636	0.0221103117261468	209	209	209	14.083	14.4266297607656	0.000476852570248569	0.243005864539289	0.0325035427949965	209	209	209	14.083	14.4266297607656
SLC30A9_TSS34887	0.00169496089252931	-0.217932144372871	0.0256164969794262	209	209	209	9.63814	9.54392937799043	0.000300435490100883	0.251188994489727	0.0263341483533305	209	209	209	9.63814	9.54392937799043
ANTXR2_TSS10288,TSS15192	0.0034516905251443	0.203350967354613	0.0406958770817406	209	207	175	2.20603	2.62645104961722	0.000567512653208913	0.239850020971498	0.0345794186601499	209	207	175	2.20603	2.62645104961722
CDS1_TSS30152	0.00328679528007361	-0.204385760556321	0.0394681712400621	205	204	146	1.25089	1.35363733636364	0.000234525442843333	0.255466649982122	0.023642776900078	205	204	146	1.25089	1.35363733636364
MSMO1_TSS1279	0.00391363339105881	-0.2006732479721	0.0438179514274438	209	209	209	17.2428	19.5558519617225	6.55837196444058e-06	0.310432964188687	0.00684628839396081	209	209	209	17.2428	19.5558519617225
DAB2_TSS21540	0.000768575654710074	-0.233122877850303	0.0148217777228866	209	209	209	71.5383	71.2374248803828	0.00110329939250836	0.227398031463381	0.0450961905271766	209	209	209	71.5383	71.2374248803828
SMIM15_TSS8543	0.00209534868603427	-0.21368270495645	0.0294200986998243	209	209	209	11.768	11.6883639712919	0.000913779665392657	0.230995141547516	0.0419599675290076	209	209	209	11.768	11.6883639712919
HMGCR_TSS19222	0.00107380406279691	-0.226819938380696	0.018558752820055	209	209	209	9.52793	10.0689169856459	1.98082335086313e-05	0.294632077011877	0.00978471017506324	209	209	209	9.52793	10.0689169856459
LSM11_TSS14839	0.00209592737891241	-0.213677119101154	0.0294200986998243	209	204	16	0.673095	0.655253024593301	0.000318304740131472	0.250180385309509	0.0270748178890145	209	204	16	0.673095	0.655253024593301
PANK3_TSS3235	0.00172325180515932	-0.21760327714232	0.0258649673468452	209	209	207	6.10987	6.13987061244019	0.000106610919414712	0.268617051945559	0.0183815037638322	209	209	207	6.10987	6.13987061244019
SERPINB9_TSS19853	0.00201365901163822	0.214485671655248	0.0287227332569669	209	205	166	2.03821	2.4087370607177	0.0006840011360694	0.236418385830992	0.0372390772976869	209	205	166	2.03821	2.4087370607177
ICK_TSS14403	0.000746215883196157	-0.233671315389762	0.0145106752720535	206	206	180	1.61764	1.66105258373206	0.00063468779477964	0.237799654760675	0.0359543324194447	206	206	180	1.61764	1.66105258373206
CDK19_TSS29946,TSS31310,TSS32145	0.0046690843139501	-0.19685391941347	0.0493371079573702	209	209	208	3.74956	3.83008563157895	0.000693081406132822	0.236174113295158	0.0374212683900553	209	209	208	3.74956	3.83008563157895
LOC100506178_TSS23162	0.00123851215516925	0.224077842956445	0.0205702463926454	148	63	1	0.0494152	0.104513786124402	9.06238602017711e-05	0.271244574637012	0.0170990740833504	148	63	1	0.0494152	0.104513786124402
AVL9_TSS28940	0.000174357794531909	-0.259247224837715	0.00517176726301933	209	208	208	5.17852	5.23269744641148	9.83481137819612e-05	0.269925091976154	0.0174574731693105	209	208	208	5.17852	5.23269744641148
SYPL1_TSS28973,TSS3672	0.00147828783639074	-0.220631508944656	0.0231819112797446	209	209	209	17.3365	17.4038330143541	0.0013305795857048	0.223767432402558	0.0485415479198649	209	209	209	17.3365	17.4038330143541
LONRF1_TSS2965	0.00307064733799982	-0.205815726003966	0.0378170485660008	209	209	206	3.40027	3.60855979425837	0.000215195026275056	0.256935308901241	0.0230981113663085	209	209	206	3.40027	3.60855979425837
OSGIN2_TSS21485,TSS24347	0.00182063249805603	-0.216507751272394	0.0267608897543475	209	209	209	8.36967	8.27774492822967	0.000110179824219929	0.268081228318568	0.0183815037638322	209	209	209	8.36967	8.27774492822967
ATP6V1C1_TSS18347	0.00473475173334893	-0.196548792067927	0.049784034988125	209	209	209	7.94473	8.15521200956938	0.000757340881251243	0.234525273678278	0.0385625304096873	209	209	209	7.94473	8.15521200956938
ZHX1_TSS13744,TSS16971	0.000400211691967623	-0.24496070168632	0.00944580891817581	209	209	208	4.27167	4.21820440191388	0.00121261867997595	0.225573867203846	0.0467040662999731	209	209	208	4.27167	4.21820440191388
TGFBR1_TSS30414	4.86761644228243e-05	-0.279721479193237	0.00200033993378105	209	209	209	9.48084	10.0737784688995	1.07419856014756e-05	0.303492866255274	0.00798564047022604	209	209	209	9.48084	10.0737784688995
SNX30_TSS7927	0.000126982610191351	-0.264490248264909	0.00404713528566226	209	209	208	6.75024	6.77663726794258	0.00108390746219885	0.227738831049665	0.045050014050837	209	209	208	6.75024	6.77663726794258
IPMK_TSS12532	0.00391134092145633	-0.200685816146516	0.043811474712246	209	208	179	1.89785	1.95732906985646	0.000642624512069134	0.237570800616983	0.0360877357448207	209	208	179	1.89785	1.95732906985646
MINPP1_TSS12604,TSS20554	0.00303350407676245	-0.206070580651846	0.0374948731654376	209	209	209	8.19698	8.42654511961723	0.00128905333898193	0.224385993501363	0.0481717725112822	209	209	209	8.19698	8.42654511961723
DEAF1_TSS29200	0.000354423038518872	0.247102265009613	0.00859526308119629	207	207	207	3.54799	3.71218267942584	0.000218302440182249	-0.25669112842194	0.0230981113663085	207	207	207	3.54799	3.71218267942584
AMPD3_TSS14989,TSS22629,TSS25071,TSS25967,TSS36176	0.000419904495483427	0.244108858753682	0.00977520838711464	208	207	116	1.18702	1.63070045933014	0.000377129323811779	0.247195926504763	0.0290992935307864	208	207	116	1.18702	1.63070045933014
FAM111B_TSS35554	0.00200474834979953	-0.214575045339984	0.0286275824409083	208	207	150	1.32136	1.48381726985646	0.000290337304133535	0.251783916310871	0.0262381423976498	208	207	150	1.32136	1.48381726985646
MTMR2_TSS14929	0.00228782094426968	-0.211898024189383	0.0311496383088197	208	208	208	4.06905	4.14482406698565	8.923383073829e-05	0.271493164061024	0.0170990740833504	208	208	208	4.06905	4.14482406698565
SC5D_TSS19193,TSS896	0.00331147374721676	-0.204227946636083	0.0395478594836284	209	209	207	4.521	4.72835077990431	2.31900645792032e-05	0.292301638222429	0.0105850221555181	209	209	207	4.521	4.72835077990431
TM7SF3_TSS30095	0.00227204437647292	-0.212039067035606	0.0310333463741885	209	209	209	13.9018	13.6603640669856	9.09774294955461e-05	0.271181913571816	0.0170990740833504	209	209	209	13.9018	13.6603640669856
DUSP6_TSS30695	0.0034910183786337	-0.203110775576885	0.0409155323409255	209	209	209	24.1362	25.6788074641148	0.00036849528472368	0.247605673984227	0.0289255068800143	209	209	209	24.1362	25.6788074641148
HSP90B1_TSS17287	0.00108516261773057	-0.22661884759004	0.0186786812604788	209	209	209	152.362	155.881259330144	0.00031222970277677	0.250517245016183	0.0269625115968818	209	209	209	152.362	155.881259330144
CMKLR1_TSS22814,TSS7058	0.000154924235542287	0.261214144133814	0.0047255589316186	209	208	172	2.14495	3.48928969138756	8.06471643901231e-05	0.273114424520631	0.01662407034384	209	208	172	2.14495	3.48928969138756
WSB2_TSS21648,TSS30584	0.0046311450408251	-0.197031968551029	0.0490985891283826	209	209	209	27.6287	27.3273842105263	0.00118723237710193	0.22598361468331	0.04645857937574	209	209	209	27.6287	27.3273842105263
DENR_TSS8457	0.00342053948071146	-0.203542981130412	0.0404678744888068	209	209	209	12.2411	12.1708361244019	0.000187740705959624	0.259248018232443	0.022424486845953	209	209	209	12.2411	12.1708361244019
USP12_TSS14925	0.00293528939608024	-0.206758339085164	0.036706914018203	209	209	207	5.88383	5.89688670334928	0.000209416610240463	0.257398244755442	0.0229674276119071	209	209	207	5.88383	5.89688670334928
IRS2_TSS5397	0.00131891426551759	-0.22285886874393	0.0216038897317157	209	209	209	14.0603	14.2529357894737	0.000826445005758516	-0.232890223640035	0.0403117126777923	209	209	209	14.0603	14.2529357894737
GMFB_TSS16353	0.00459318878098286	-0.197211414152413	0.0488176708651572	209	209	209	14.618	15.1578945454545	0.00100485493327745	0.229188706746228	0.0439040274252829	209	209	209	14.618	15.1578945454545
GPR65_TSS31368	0.00422954647685366	-0.199001680774776	0.0462607777042603	209	209	209	11.7168	12.2649607177033	0.0013505741554398	0.223475881311401	0.0487462062076261	209	209	209	11.7168	12.2649607177033
CLMN_TSS35996	9.03961378707427e-05	-0.269992409751756	0.00311781170798777	209	209	206	2.95878	3.03407938755981	0.000775115900407041	0.234091970873005	0.0392331436243651	209	209	206	2.95878	3.03407938755981
SPRED1_TSS416	0.00153197859310196	-0.21993048410501	0.0238192851692697	209	209	209	9.77435	10.2131831578947	3.57842274528456e-05	0.285781137467506	0.0121416524746914	209	209	209	9.77435	10.2131831578947
BLOC1S6_TSS11488,TSS13008,TSS14106,TSS36285	0.00433565090826461	-0.198465438666362	0.0468932806417518	209	209	209	13.534	13.8952835885167	0.000231774207997009	0.255668637606553	0.0235690647821959	209	209	209	13.534	13.8952835885167
CSNK1G1_TSS14333	0.0035533372857138	-0.20273512680823	0.0414167142545055	209	209	207	3.28838	3.22007231100478	0.00079855447202418	0.233534393956307	0.0398668962097853	209	209	207	3.28838	3.22007231100478
ODF3L1_TSS109	0.00251594628085571	-0.209951646067357	0.0333849786373429	206	205	180	2.3205	2.74379872583732	0.000171161226385151	-0.260802674863069	0.0216184067865948	206	205	180	2.3205	2.74379872583732
ITPRIPL2_TSS17307	0.00105689341917876	-0.227122971030503	0.0184027606863953	209	209	209	7.15889	7.22912291866029	0.000597116843504312	0.238920209383485	0.0353293583157864	209	209	209	7.15889	7.22912291866029
BRCA1_TSS1360,TSS2433,TSS35183,TSS7822	0.000958408788128686	-0.228981664380242	0.0171794439224105	209	209	204	2.24776	2.28043762200957	0.0011980345337852	0.225808290040655	0.0465875841757227	209	209	204	2.24776	2.28043762200957
SEH1L_TSS35104	0.0034461212792255	-0.203385180718301	0.0406677313103799	209	209	209	9.19055	9.06757220095694	0.000834714300389836	0.232703079358549	0.0403117126777923	209	209	209	9.19055	9.06757220095694
IL27RA_TSS1286	0.00328157784261753	0.20441926217997	0.0394360184462373	209	209	209	12.6546	13.355818708134	0.000371173516554309	-0.247477627896895	0.0289255068800143	209	209	209	12.6546	13.355818708134
RASGRP4_TSS24505	0.00157619712338127	-0.219369803879675	0.0242998640957471	209	209	209	12.5943	12.9323371291866	0.0004700148491845	-0.243265896593564	0.0324704042162297	209	209	209	12.5943	12.9323371291866
ANGPT4_TSS20384	0.00179351962459048	-0.216807292762642	0.0265784901857584	208	208	207	13.0669	14.0791536650718	0.000315164821766367	-0.250353740012359	0.0269884828856357	208	208	207	13.0669	14.0791536650718
RASSF2_TSS28636,TSS36094	0.000691005258280798	0.235093288305962	0.0138314686036926	209	209	197	3.1514	4.31977766985646	0.000215020777249313	0.256949098479876	0.0230981113663085	209	209	197	3.1514	4.31977766985646
LINC00657_TSS22410	0.000238097644277283	-0.253986047380809	0.00658659511403856	209	209	209	17.2944	17.2382983732057	0.000384453084417711	0.246855126918479	0.0292470395559557	209	209	209	17.2944	17.2382983732057
XIAP_TSS26408,TSS28480	0.000746509838533326	-0.233664007582102	0.0145106752720535	209	209	209	7.60187	7.73539406698565	0.000927559885089465	0.23071147021558	0.0422351923101869	209	209	209	7.60187	7.73539406698565
FHL1_TSS10004,TSS15569,TSS18174,TSS32008,TSS33805,TSS765,TSS7962	4.29419722738863e-05	-0.28164790103844	0.00181911444462565	209	209	209	82.498	85.7244406698565	0.00121323500736208	-0.225564017504821	0.0467040662999731	209	209	209	82.498	85.7244406698565
